timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
27,E06,17,54.22580645,11.12903226,0.207927387,766.2258065,1878.903226,0.408048252,1658,E
27,E07,18,35.38709677,6.612903226,0.191274809,491.1612903,1198.483871,0.40958748,1291,E
27,E08,19,60.67741935,14.64516129,0.242103833,1059.322581,2937.548387,0.36315937,1740,E
27,E09,20,31.5483871,5.35483871,0.176049241,567.6451613,1370.483871,0.415203734,1194,E
27,E10,21,39.03225806,7.838709677,0.203828401,403.2903226,1037.870968,0.388645401,1194,E
27,E11,22,59.93548387,14.38709677,0.244802974,668.4516129,1681.580645,0.398154473,1580,E
27,E12,23,67,14.16129032,0.212335776,917.7419355,1991.032258,0.461604732,2096,E
27,E13,24,138.0967742,20.87096774,0.157293521,1340.677419,3187.387097,0.418438936,1555,E
27,E14,25,33.12903226,7.580645161,0.237284878,617.6451613,1683.677419,0.368536474,1465,E
27,E16,1,65.70967742,15.03225806,0.232332476,1191.967742,2680.548387,0.446927797,3903,E
27,E17,7,69.41935484,16.25806452,0.237134794,1080.419355,2521.483871,0.431080332,1882,E
27,P01,11,102.3548387,24.03225806,0.23728157,1285.064516,2639.387097,0.491525647,2790,P
27,P02,13,95.70967742,22.4516129,0.239084087,1137.096774,2837.677419,0.402432118,1850,P
27,P03,2,76.29032258,19.58064516,0.256423434,1435.225806,2853.548387,0.50514658,5000,P
27,P04,3,93.51612903,25.5483871,0.277509923,1409,3093.096774,0.456817475,1910,P
27,P05,4,95.03225806,20.03225806,0.216427753,1533.548387,3354.451613,0.458591994,3500,P
27,P06,5,86.4516129,21.90322581,0.253995023,1524.870968,3927.354839,0.390297228,3634,P
27,P07,6,76.77419355,18.22580645,0.235765634,1316.032258,2887.225806,0.457835976,1907,P
27,P08,8,103.0645161,28.48387097,0.278861085,1839.322581,3997.193548,0.464194582,5991,P
27,P09,9,149.9032258,39.67741935,0.264507236,1727.193548,3409.548387,0.506807244,4624,P
28,E01,10,33.38709677,4.193548387,0.125862349,354.3225806,925.0322581,0.383635023,800,E
28,E02,12,41.67741935,6.903225806,0.167436318,570.516129,1357.16129,0.424559604,1375,E
28,E03,14,31.09677419,5.322580645,0.172627342,473.6774194,1248.548387,0.382331339,1507,E
28,E04,15,94.38709677,23.12903226,0.246885743,871.2903226,1905.096774,0.461844802,2118,E
28,E05,16,18.70967742,3.741935484,0.205375179,361.5806452,930.3548387,0.3901293,1300,E
28,E06,17,45.74193548,8.838709677,0.19785759,597.9354839,1528.096774,0.392835349,1658,E
28,E07,18,28.22580645,3.806451613,0.134108317,380.0645161,961.0967742,0.396294313,1291,E
28,E08,19,51.61290323,9.806451613,0.187532951,796.2903226,2391.83871,0.338502947,1740,E
28,E09,20,26.64516129,4.483870968,0.169037478,453.6129032,1137,0.401138036,1194,E
